"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A2","KP","AT","SOT","TkW","DIS","ErG","YC","RC","AP","PC%","SFTP","ACNC","Int","CLR","CoS","AER","PKM","OG","GAD","CSD","CSM"
"Dale Stephens","BUR","M","227","FA","@WBA Sun 3:00AM","13.25","6.62","0%","-2.1%","2","0","0","0","0","0","3","3","0","0","0","72","86.7","11","0","4","0","1","5","0","0","0","0","0"
"Thiago","LIV","M","228","Bantztas","@EVE Sun 12:30AM","13","13","73%","-9.2%","1","0","0","1","0","0","0","1","0","0","0","74","90.2","33","0","1","0","0","1","0","0","0","0","0"
"Sam Field","WBA","M","229","FA","BUR Sun 3:00AM","12.75","4.25","0%","-0.1%","3","0","0","0","0","0","5","1","0","0","0","15","62.5","2","0","2","3","1","3","0","0","0","0","0"
"Steven Bergwijn","TOT","M,F","230","FA","WHU Mon 4:30AM","12.5","4.17","40%","-19.2%","3","0","0","2","0","1","1","3","0","0","0","44","95.7","21","0","0","0","1","0","0","0","0","0","0"
"Ainsley Maitland-Niles","ARS","D,M","231","Bantztas","@MCI Sun 5:30AM","12.5","4.17","13%","-7.3%","3","0","0","0","0","0","2","1","0","0","0","49","71.0","8","0","4","2","1","0","0","0","0","0","1"
"Conor Townsend","WBA","D","232","FA","BUR Sun 3:00AM","12.25","6.12","0%","-0.3%","2","0","0","0","0","0","2","1","0","0","0","48","73.8","15","0","5","3","3","2","0","0","5","0","0"
"Mamadou Sakho","CRY","D","233","FA","BHA Mon 2:00AM","12","4","7%","+5.2%","3","0","0","0","0","0","1","1","0","0","0","74","87.1","8","0","3","11","0","5","0","0","7","0","0"
"James Milner","LIV","M","234","FA","@EVE Sun 12:30AM","12","4","0%","-2.5%","3","0","0","1","0","0","1","0","0","0","0","71","93.4","26","1","0","0","0","0","0","0","0","0","0"
"Pascal Struijk","LEE","D","235","FA","WOL Tue 8:00AM","12","12","0%","-1.2%","1","0","0","0","0","0","1","0","0","0","0","52","88.1","2","0","3","11","0","1","0","0","4","0","0"
"Ryan Fraser","NEW","M,F","236","STV","MUN Sun 3:00AM","11.75","5.88","53%","+11.3%","2","0","0","0","1","0","0","2","0","0","0","22","78.6","10","0","3","1","0","0","0","0","0","0","0"
"Emil Krafth","NEW","D","237","FA","MUN Sun 3:00AM","11.75","11.75","0%","-0.4%","1","0","0","1","0","0","0","1","0","0","0","32","78.0","7","1","1","6","0","3","0","0","1","0","0"
"Jack O'Connell","SHU","D","238","FA","FUL Sun 3:00AM","11.5","5.75","13%","-19.4%","2","0","0","0","0","0","1","0","0","0","0","55","71.4","8","0","2","7","0","5","0","0","3","0","0"
"Pascal Gross","BHA","M,F","239","FA","@CRY Mon 2:00AM","11.5","3.83","7%","-6.3%","3","0","0","1","0","0","1","0","0","0","0","44","95.7","21","1","1","0","0","1","0","0","0","0","0"
"Nathan Redmond","SOU","M,F","240","Joe","@CHE Sun 3:00AM","11.25","5.62","80%","+8.2%","2","0","0","0","0","1","5","4","0","0","0","40","76.9","17","0","0","0","1","0","0","0","0","0","0"
"Timothy Fosu-Mensah","MUN","D","241","FA","@NEW Sun 3:00AM","11.25","11.25","7%","+5%","1","0","0","2","0","0","0","2","0","1","0","60","90.9","23","1","3","1","2","1","0","0","2","0","0"
"Jamal Lewis","NEW","D","242","FA","MUN Sun 3:00AM","10.75","2.69","33%","+5.6%","4","0","0","3","0","0","2","3","0","3","0","75","75.8","13","2","2","2","0","4","0","0","4","1","0"
"Ola Aina","FUL","D","243","FA","@SHU Sun 3:00AM","10.75","10.75","0%","-0.1%","1","0","0","1","0","0","2","1","0","0","0","60","80.0","17","1","1","2","0","0","0","0","1","0","0"
"Tom Davies","EVE","M","244","FA","LIV Sun 12:30AM","10.75","3.58","0%","-1%","3","0","0","0","0","0","2","1","0","0","0","46","79.3","5","0","7","0","0","0","0","0","0","0","0"
"Oliver Norwood","SHU","M","245","FA","FUL Sun 3:00AM","10.5","5.25","53%","+20.4%","2","0","0","1","0","0","0","1","0","0","0","59","88.1","15","0","2","1","0","2","0","0","0","0","0"
"Matt Ritchie","NEW","D,M","246","BCFC","MUN Sun 3:00AM","10","10","27%","-1%","1","0","0","1","0","0","0","0","0","0","0","19","79.2","5","2","0","4","0","3","0","0","1","0","0"
"Matej Vydra","BUR","F","247","FA","@WBA Sun 3:00AM","9.75","3.25","0%","-1.5%","3","0","0","2","0","0","0","4","0","0","0","14","73.7","5","1","2","0","2","3","0","0","0","0","0"
"Marcal","WOL","D","248","FA","@LEE Tue 8:00AM","9.5","4.75","27%","-6.4%","2","0","0","0","0","0","1","0","0","1","0","30","81.1","2","0","2","3","2","6","0","0","0","0","1"
"Ezgjan Alioski","LEE","M","249","FA","WOL Tue 8:00AM","9.5","3.17","7%","+4%","3","0","0","0","0","1","2","1","0","0","0","26","81.3","9","0","1","0","1","3","0","0","0","0","0"
"Ademola Lookman","FUL","F","250","FA","@SHU Sun 3:00AM","9.5","9.5","7%","+6.1%","1","0","0","1","0","0","1","0","0","0","0","17","89.5","9","0","0","0","4","0","0","0","0","0","0"
"Oliver Burke","SHU","M,F","251","FA","FUL Sun 3:00AM","9.5","3.17","0%","-2.8%","3","0","0","3","0","0","0","4","0","0","0","19","57.6","7","0","0","0","1","5","0","0","0","0","0"
"Mateo Kovacic","CHE","M","252","BS420FC","SOU Sun 3:00AM","9.25","3.08","47%","+6.4%","3","0","0","0","0","0","0","0","0","0","0","122","93.1","16","0","1","0","1","1","0","0","0","0","0"
"Issa Diop","WHU","D","253","FA","@TOT Mon 4:30AM","9.25","4.62","7%","+3.5%","2","0","0","0","0","0","1","0","0","0","0","90","86.5","5","0","3","7","0","2","0","0","4","0","0"
"Ian Poveda-Ocampo","LEE","F","254","FA","WOL Tue 8:00AM","9","4.5","0%","-0.5%","2","0","0","1","0","1","1","1","0","0","0","11","64.7","6","1","0","0","2","0","0","0","0","0","0"
"Hal Robson-Kanu","WBA","F","255","FA","BUR Sun 3:00AM","9","3","0%","-1.3%","3","0","0","1","0","1","0","2","0","0","0","5","55.6","2","0","0","4","1","1","0","0","0","0","0"
"Fikayo Tomori","CHE","D","256","FA","SOU Sun 3:00AM","9","9","0%","-2.7%","1","0","0","0","0","0","1","0","0","0","0","28","96.6","0","0","2","8","0","0","0","0","2","0","0"
"Anthony Martial","MUN","F","257","splitt1n","@NEW Sun 3:00AM","8.5","2.83","100%","+0.5%","3","0","0","0","1","0","0","6","0","0","1","53","84.1","31","0","0","1","2","2","0","0","0","0","0"
"Neeskens Kebano","FUL","M","258","FA","@SHU Sun 3:00AM","8.5","2.12","7%","+3.6%","4","0","0","1","0","0","0","1","0","0","0","32","88.9","15","0","0","0","3","0","0","0","0","0","0"
"Daniel Amartey","LEI","D","259","FA","AVL Sun 3:00AM","8.5","4.25","0%","-1.3%","2","0","0","0","0","0","1","1","0","1","0","62","86.1","4","0","3","7","1","6","0","0","4","0","0"
"James Tarkowski","BUR","D","260","BigUps","@WBA Sun 3:00AM","8","8","100%","+6.9%","1","0","0","1","0","1","1","0","0","1","0","31","67.4","2","0","1","3","0","9","0","0","3","0","0"
"Jack Stephens","SOU","D","261","FA","@CHE Sun 3:00AM","8","4","13%","+10.6%","2","0","0","0","0","1","3","0","0","1","0","111","74.0","10","0","3","4","0","5","0","0","6","0","0"
"Dele Alli","TOT","M,F","262","FA","WHU Mon 4:30AM","7.75","3.88","47%","-32.8%","2","0","0","1","0","1","1","1","0","0","0","32","82.1","5","0","0","1","0","1","0","0","0","0","0"
"Ki-Jana Hoever","WOL","D","263","FA","@LEE Tue 8:00AM","7.75","3.88","0%","-1.8%","2","0","0","1","0","0","0","1","0","0","0","15","78.9","3","1","1","4","0","1","0","0","1","0","0"
"Josh Onomah","FUL","M","264","FA","@SHU Sun 3:00AM","7.75","3.88","0%","-1.8%","2","0","0","0","0","0","3","4","0","0","0","39","84.8","18","0","0","0","1","1","0","0","0","0","0"
"Joel Veltman","BHA","D","265","FA","@CRY Mon 2:00AM","7.75","7.75","0%","-1.6%","1","0","0","0","0","0","3","1","0","0","0","40","81.6","11","0","0","3","1","1","0","0","2","0","0"
"Benjamin Mendy","MCI","D","266","BCFC","ARS Sun 5:30AM","7.5","2.5","93%","+14.9%","3","0","0","1","0","0","3","2","0","2","0","113","79.0","28","1","1","3","3","3","0","0","7","0","0"
"Eric Garcia","MCI","D","267","FA","ARS Sun 5:30AM","7.5","7.5","0%","-5.9%","1","0","0","1","0","0","2","0","0","0","0","94","97.9","18","0","3","1","0","0","0","0","5","0","0"
"Curtis Jones","LIV","M","268","FA","@EVE Sun 12:30AM","7.5","3.75","0%","-2.3%","2","0","0","1","0","0","0","3","0","0","0","31","83.8","16","0","0","1","1","1","0","0","0","0","0"
